Type: Dye
Name: CF 405M
Extinction coefficient: 41000
Quantum Yield: 
Dye: CF405M Emmision spectra from http://www.fluorophores.tugraz.at/substance/1131
emission wavelength (nm),Normalized emission,
548,0,0.0251
549,0,0.0237
550,0,0.0228
551,0,0.0221
552,0,0.0211
553,0,0.0199
554,0,0.0187
555,0,0.0181
556,0,0.0171
557,0,0.0162
558,0,0.0155
559,0,0.0151
560,0,0.0146
561,0,0.014
562,0,0.0134
563,0,0.0127
564,0,0.0123
565,0,0.0119
566,0,0.0113
567,0,0.011
568,0,0.0105
569,0,0.01
570,0,0.0096
571,0,0.0092
572,0,0.0089
573,0,0.0086
574,0,0.0083
575,0,0.008
576,0,0.0077
577,0,0.0072
578,0,0.0068
579,0,0.0067
580,0,0.0065
581,0,0.0063
582,0,0.006
583,0,0.0058
584,0,0.0056
585,0,0.0052
586,0,0.005
587,0,0.0047
588,0,0.0045
589,0,0.0045
590,0,0.0044
591,0,0.0043
592,0,0.0041
593,0,0.004
594,0,0.0037
595,0,0.0036
596,0,0.0034
597,0,0.0034
598,0,0.0032
599,0,0.0031
600,0,0.0029
601,0,0.003
602,0,0.0028
603,0,0.0027
604,0,0.0026
605,0,0.0025
606,0,0.0024
607,0,0.0023
608,0,0.0023
609,0,0.0022
610,0,0.0021
611,0,0.0021
612,0,0.0019
613,0,0.0018
614,0,0.0018
615,0,0.0018
616,0,0.0017
617,0,0.0017
618,0,0.0017
619,0,0.0016
620,0,0.0015
621,0,0.0014
622,0,0.0014
623,0,0.0013
624,0,0.0013
625,0,0.0013
626,0,0.0012
627,0,0.0012
628,0,0.0012
629,0,0.0012
630,0,0.0012
631,0,0.0011
632,0,0.0011
633,0,0.0011
634,0,0.0011
635,0,0.0011
636,0,0.001
637,0,0.0011
638,0,0.0012
639,0,0.0012
640,0,0.0011
641,0,0.0011
642,0,0.001
643,0,0.0012
644,0,0.0011
645,0,0.0011
646,0,0.0011
647,0,0.0011
648,0,0.001
649,0,0.0009
650,0,0.0009
651,0,0.0009
652,0,0.001
653,0,0.0009
654,0,0.001
655,0,0.0009
656,0,0.0009
657,0,0.0008
658,0,0.0008
659,0,0.0008
660,0,0.0008
661,0,0.0008
662,0,0.0008
663,0,0.0008
664,0,0.0008
665,0,0.0008
666,0,0.0007
667,0,0.0007
668,0,0.0007
669,0,0.0006
670,0,0.0007
671,0,0.0007
672,0,0.0007
673,0,0.0007
674,0,0.0007
675,0,0.0007
676,0,0.0007
677,0,0.0007
678,0,0.0007
679,0,0.0006
680,0,0.0006
681,0,0.0006
682,0,0.0006
683,0,0.0006
684,0,0.0007
685,0,0.0006
686,0,0.0006
687,0,0.0006
688,0,0.0006
689,0,0.0006
690,0,0.0005
691,0,0.0006
692,0,0.0006
693,0,0.0006
694,0,0.0006
695,0,0.0006
696,0,0.0006
697,0,0.0006
698,0,0.0006
699,0,0.0006
700,0,0.0006
701,0,0.0006
702,0,0.0006
703,0,0.0005
704,0,0.0005
705,0,0.0006
706,0,0.0005
707,0,0.0005
708,0,0.0005
709,0,0.0005
710,0,0.0005
711,0,0.0005
712,0,0.0005
713,0,0.0005
714,0,0.0005
715,0,0.0005
716,0,0.0005
717,0,0.0005
718,0,0.0005
719,0,0.0005
720,0,0.0005
721,0,0.0005
722,0,0.0005
723,0,0.0005
724,0,0.0005
725,0,0.0005
726,0,0.0005
727,0,0.0005
728,0,0.0005
729,0,0.0005
730,0,0.0005
731,0,0.0005
732,0,0.0005
733,0,0.0005
734,0,0.0005
735,0,0.0005
736,0,0.0005
737,0,0.0005
738,0,0.0005
739,0,0.0005
740,0,0.0005
741,0,0.0005
742,0,0.0005
743,0,0.0005
744,0,0.0005
745,0,0.0005
746,0,0.0005
747,0,0.0006
748,0,0.0005
749,0,0.0005
750,0,0.0005
751,0,0.0005
752,0,0.0005
753,0,0.0005
754,0,0.0005
755,0,0.0005
756,0,0.0005
757,0,0.0005
758,0,0.0005
759,0,0.0005
760,0,0.0005
761,0,0.0005
762,0,0.0005
763,0,0.0005
764,0,0.0005
765,0,0.0005
766,0,0.0005
767,0,0.0005
768,0,0.0005
769,0,0.0005
770,0,0.0005
771,0,0.0005
772,0,0.0005
773,0,0.0005
774,0,0.0005
775,0,0.0005
776,0,0.0005
777,0,0.0005
778,0,0.0005
779,0,0.0005
780,0,0.0005
781,0,0.0005
782,0,0.0005
783,0,0.0005
784,0,0.0005
785,0,0.0005
786,0,0.0005
787,0,0.0005
788,0,0.0005
789,0,0.0005
790,0,0.0005
791,0,0.0005
792,0,0.0005
793,0,0.0004
794,0,0.0004
795,0,0.0004
796,0,0.0005
797,0,0.0005
798,0,0.0005
799,0,0.0005
